Location,Magnitude,Time,Longitude,Latitude,Depth,URL
"293km SE of Lambasa, Fiji",4.5,1510136940790,-178.3736,-17.9578,569.01,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bkai
"68km ESE of Tadine, New Caledonia",5,1510127682340,168.5309,-21.6729,10.99,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bk9j
"153km SSW of Ndoi Island, Fiji",5.7,1510126511460,-179.4282,-21.8611,582.59,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bk9d
"21km SW of Surup, Philippines",5,1510125801810,125.9819,6.2792,120.42,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bk9c
"46km SSE of Bilungala, Indonesia",4.8,1510091246110,123.4247,0.0136,142.1,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bk2v
"67km WSW of Angoram, Papua New Guinea",6.5,1510089998070,143.4798,-4.2272,107.37,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bk15
"27km NE of Ndoi Island, Fiji",4.5,1510089439400,-178.4955,-20.4964,620.82,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bk11
"118km NNE of Ngamring, China",4.6,1510081601910,87.4761,30.2695,8.91,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bjyl
"42km NNW of Kalat, Pakistan",4.9,1510081130580,66.4268,29.3815,16.35,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bjyb
"38km ESE of Sary-Tash, Kyrgyzstan",4.7,1510072126540,73.6614,39.5913,51.06,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bjuv
"147km N of Calama, Chile",4.5,1510070404650,-68.6581,-21.1553,106.57,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bjuc
